Corrupted_Row,email,text_without_email,name,role,city,clean_text
Paola López::Support Agent::Manta::paola0@g mail . com,paola0@gmail.com,Paola López::Support Agent::Manta::,Paola López,Support Agent,Manta,Paola López Support Agent Manta
Brian Ramirez::Developer::Manta::brian1@g mail . com,brian1@gmail.com,Brian Ramirez::Developer::Manta::,Brian Ramirez,Developer,Manta,Brian Ramirez Developer Manta
Eduardo Bravo;Product Owner;Daule;eduardo2@g mail . com,eduardo2@gmail.com,Eduardo Bravo;Product Owner;Daule;,Eduardo Bravo,Product Owner,Daule,Eduardo Bravo Product Owner Daule
	MarioSánchez	QALead	Manta	mario3@gmail.com,mario3@gmail.com,MarioSánchez QALead Manta,Mario Sánchez QA Lead,,Manta,MarioSánchez QALead Manta
Cecilia---Torres|Developer|Tena|cecilia4@g---mail---.---com| note:fix-this ,cecilia4@gmail.com,Cecilia---Torres|Developer|Tena| |,Cecilia Torres,Developer,Tena,Cecilia Torres Developer Tena
Juan Carlos MenaSalesDaulejuan5@g mail . com note:fix-this ,MenaSalesDaulejuan5@gmail.com,Juan Carlos,Juan Carlos,,,Juan Carlos
"Patricia---Jaramillo,HR,Puyo,patricia6@g---mail---.---com",patricia6@gmail.com,"Patricia---Jaramillo,HR,Puyo,",Patricia Jaramillo,HR,Puyo,Patricia Jaramillo HR Puyo
Rafael Paredes   HR   Cuenca   rafael7@g mail . com,rafael7@gmail.com,Rafael Paredes HR Cuenca,Rafael Paredes,HR,Cuenca,Rafael Paredes HR Cuenca
Hector Jaramillo   Manager   Machala   hector8@g mail . com,hector8@gmail.com,Hector Jaramillo Manager Machala,Hector Jaramillo,Manager,Machala,Hector Jaramillo Manager Machala
Veronica Lasso;Developer;Daule;veronica9@g mail . com,veronica9@gmail.com,Veronica Lasso;Developer;Daule;,Veronica Lasso,Developer,Daule,Veronica Lasso Developer Daule
Marco Vinueza   IT Lead   Ambato   marco10@g mail . com,marco10@gmail.com,Marco Vinueza IT Lead Ambato,Marco Vinueza,IT Lead,Ambato,Marco Vinueza IT Lead Ambato
Sergio Paz::QA Lead::Manta::sergio11@g mail . com,sergio11@gmail.com,Sergio Paz::QA Lead::Manta::,Sergio Paz,QA Lead,Manta,Sergio Paz QA Lead Manta
Luis Gomez   Support Agent   Daule   luis12@g mail . com,luis12@gmail.com,Luis Gomez Support Agent Daule,Luis Gomez,Support Agent,Daule,Luis Gomez Support Agent Daule
Hector Jaramillo|IT Lead|Ambato|hector13@g mail . com,hector13@gmail.com,Hector Jaramillo|IT Lead|Ambato|,Hector Jaramillo,IT Lead,Ambato,Hector Jaramillo IT Lead Ambato
Luciana  Aguirre;Sales;Daule;luciana14@g  mail  .  com,luciana14@gmail.com,Luciana Aguirre;Sales;Daule;,Luciana Aguirre,Sales,Daule,Luciana Aguirre Sales Daule
Cecilia_Torres	Product_Owner	Ambato	cecilia15@g_mail_._com,cecilia15@gmail.com,Cecilia_Torres Product_Owner Ambato,Cecilia Torres,Product Owner,Ambato,Cecilia Torres Product Owner Ambato
Gina Córdova::QA Lead::Puyo::gina16@g mail . com,gina16@gmail.com,Gina Córdova::QA Lead::Puyo::,Gina Córdova,QA Lead,Puyo,Gina Córdova QA Lead Puyo
Javier MorenoQA LeadMachalajavier17@g mail . com note:fix-this ,LeadMachalajavier17@gmail.com,Javier MorenoQA,Javier Moreno,QA,,Javier MorenoQA
Elena Rivas::Manager::Milagro::elena18@g mail . com,elena18@gmail.com,Elena Rivas::Manager::Milagro::,Elena Rivas,Manager,Milagro,Elena Rivas Manager Milagro
"Andrea Molina,Sales,Daule,andrea19@g mail . com, note:fix-this ",andrea19@gmail.com,"Andrea Molina,Sales,Daule, ,",Andrea Molina,Sales,Daule,Andrea Molina Sales Daule
Hector Jaramillo;Sales;Tena;hector20@g mail . com,hector20@gmail.com,Hector Jaramillo;Sales;Tena;,Hector Jaramillo,Sales,Tena,Hector Jaramillo Sales Tena
Monica Silva	QA Lead	Quito	monica21@g mail . com,monica21@gmail.com,Monica Silva QA Lead Quito,Monica Silva,QA Lead,Quito,Monica Silva QA Lead Quito
   Maria Fernandez   Support Agent   Quito   maria22@g mail . com,maria22@gmail.com,Maria Fernandez Support Agent Quito,Maria Fernandez,Support Agent,Quito,Maria Fernandez Support Agent Quito
Pablo Villacis|Manager|Quito|pablo23@g mail . com,pablo23@gmail.com,Pablo Villacis|Manager|Quito|,Pablo Villacis,Manager,Quito,Pablo Villacis Manager Quito
EduardoBravo	ProductOwner	Latacunga	eduardo24@gmail.com	 note:fix-this ,eduardo24@gmail.com,EduardoBravo ProductOwner Latacunga,Eduardo Bravo,Product Owner,Latacunga,EduardoBravo ProductOwner Latacunga
Juan Ruiz;IT Lead;Cuenca;juan25@g mail . com; note:fix-this ,juan25@gmail.com,Juan Ruiz;IT Lead;Cuenca; ;,Juan Ruiz,IT Lead,Cuenca,Juan Ruiz IT Lead Cuenca
Melissa  Viteri      Marketing      Tena      melissa26@g  mail  .  com,melissa26@gmail.com,Melissa Viteri Marketing Tena,Melissa Viteri,Marketing,Tena,Melissa Viteri Marketing Tena
"Veronica Lasso,IT Lead,Riobamba,veronica27@g mail . com",veronica27@gmail.com,"Veronica Lasso,IT Lead,Riobamba,",Veronica Lasso,IT Lead,Riobamba,Veronica Lasso IT Lead Riobamba
Monica Silva   Finance Director   Manta   monica28@g mail . com,monica28@gmail.com,Monica Silva Finance Director Manta,Monica Silva,Finance Director,Manta,Monica Silva Finance Director Manta
Luciana Aguirre	Manager	Ambato	luciana29@g mail . com,luciana29@gmail.com,Luciana Aguirre Manager Ambato,Luciana Aguirre,Manager,Ambato,Luciana Aguirre Manager Ambato
Roberto Casas	QA Lead	Manta	roberto30@g mail . com,roberto30@gmail.com,Roberto Casas QA Lead Manta,Roberto Casas,QA Lead,Manta,Roberto Casas QA Lead Manta
Roberto Casas	Sales	Riobamba	roberto31@g mail . com,roberto31@gmail.com,Roberto Casas Sales Riobamba,Roberto Casas,Sales,Riobamba,Roberto Casas Sales Riobamba
Claudia---Pérez|Developer|Manta|claudia32@g---mail---.---com,claudia32@gmail.com,Claudia---Pérez|Developer|Manta|,Claudia Pérez,Developer,Manta,Claudia Pérez Developer Manta
Ramiro Andrade	Support Agent	Milagro	ramiro33@g mail . com,ramiro33@gmail.com,Ramiro Andrade Support Agent Milagro,Ramiro Andrade,Support Agent,Milagro,Ramiro Andrade Support Agent Milagro
Tania Suarez;QA Lead;Ambato;tania34@g mail . com,tania34@gmail.com,Tania Suarez;QA Lead;Ambato;,Tania Suarez,QA Lead,Ambato,Tania Suarez QA Lead Ambato
Eduardo Bravo::Support Agent::Quito::eduardo35@g mail . com,eduardo35@gmail.com,Eduardo Bravo::Support Agent::Quito::,Eduardo Bravo,Support Agent,Quito,Eduardo Bravo Support Agent Quito
Carlos---Rojas::HR::Quito::carlos36@g---mail---.---com:: note:fix-this ,carlos36@gmail.com,Carlos---Rojas::HR::Quito:: ::,Carlos Rojas,HR,Quito,Carlos Rojas HR Quito
